iter	Passed	Remaining
0	171	171573
1	174	87083
2	175	58424
3	177	44110
4	178	35619
5	180	29963
6	182	25907
7	184	22863
8	187	20599
9	190	18854
10	193	17362
11	197	16294
12	200	15216
13	204	14367
14	206	13576
15	210	12918
16	213	12338
17	215	11766
18	223	11531
19	226	11098
20	229	10679
21	231	10278
22	234	9949
23	236	9637
24	239	9344
25	241	9061
26	245	8838
27	248	8615
28	250	8388
29	252	8158
30	254	7968
31	257	7784
32	259	7615
33	262	7465
34	265	7307
35	267	7153
36	269	7003
37	272	6887
38	274	6757
39	276	6628
40	279	6544
41	282	6444
42	286	6381
43	289	6284
44	293	6220
45	297	6172
46	301	6104
47	303	6023
48	306	5943
49	309	5887
50	312	5817
51	315	5754
52	317	5677
53	319	5602
54	322	5545
55	325	5481
56	327	5417
57	329	5356
58	332	5300
59	334	5237
60	337	5187
61	340	5146
62	342	5092
63	345	5054
64	347	5005
65	350	4958
66	353	4923
67	356	4883
68	358	4837
69	361	4798
70	363	4760
71	366	4725
72	388	4933
73	394	4931
74	397	4907
75	410	4991
76	415	4980
77	426	5045
78	431	5035
79	433	4989
80	435	4944
81	443	4968
82	453	5005
83	456	4981
84	462	4973
85	471	5012
86	473	4973
87	476	4938
88	480	4913
89	482	4882
90	486	4864
91	489	4835
92	492	4805
93	495	4772
94	497	4736
95	500	4709
96	503	4687
97	505	4653
98	507	4621
99	511	4603
100	514	4582
101	521	4595
102	523	4562
103	526	4531
104	528	4505
105	530	4475
106	532	4447
107	534	4417
108	536	4389
109	538	4360
110	541	4333
111	543	4309
112	546	4286
113	548	4260
114	549	4232
115	551	4205
116	553	4175
117	555	4152
118	556	4123
119	559	4105
120	561	4080
121	563	4054
122	565	4033
123	567	4009
124	569	3987
125	571	3966
126	574	3950
127	576	3930
128	579	3910
129	581	3894
130	584	3874
131	586	3854
132	588	3837
133	590	3816
134	593	3800
135	595	3784
136	599	3775
137	601	3758
138	605	3749
139	607	3734
140	609	3714
141	612	3698
142	614	3680
143	615	3661
144	619	3650
145	621	3632
146	622	3614
147	625	3599
148	627	3582
149	629	3565
150	631	3548
151	633	3532
152	637	3531
153	640	3516
154	641	3499
155	644	3485
156	645	3468
157	647	3452
158	649	3437
159	651	3420
160	652	3400
161	654	3383
162	656	3369
163	659	3359
164	661	3345
165	662	3330
166	666	3323
167	668	3312
168	675	3323
169	677	3306
170	680	3297
171	682	3283
172	683	3268
173	687	3264
174	690	3254
175	693	3246
176	695	3231
177	697	3218
178	698	3205
179	702	3201
180	708	3204
181	711	3195
182	713	3186
183	716	3178
184	719	3169
185	722	3160
186	725	3154
187	727	3143
188	733	3146
189	735	3134
190	738	3127
191	740	3117
192	743	3107
193	745	3098
194	747	3087
195	749	3075
196	751	3063
197	753	3053
198	756	3044
199	759	3036
200	777	3089
201	780	3084
202	795	3121
203	801	3127
204	804	3118
205	807	3113
206	817	3130
207	819	3121
208	828	3133
209	834	3140
210	841	3146
211	850	3160
212	857	3169
213	861	3164
214	864	3157
215	868	3151
216	871	3144
217	876	3145
218	879	3136
219	882	3129
220	887	3127
221	904	3168
222	910	3171
223	914	3169
224	926	3192
225	943	3232
226	948	3229
227	950	3219
228	953	3210
229	956	3202
230	958	3191
231	961	3182
232	963	3172
233	965	3162
234	970	3158
235	973	3152
236	977	3146
237	979	3136
238	983	3131
239	986	3123
240	988	3113
241	999	3130
242	1003	3125
243	1011	3133
244	1014	3125
245	1019	3126
246	1023	3120
247	1026	3112
248	1031	3111
249	1037	3113
250	1041	3108
251	1045	3104
252	1050	3100
253	1052	3090
254	1057	3088
255	1061	3085
256	1063	3075
257	1066	3067
258	1069	3059
259	1072	3051
260	1075	3045
261	1078	3036
262	1081	3029
263	1084	3022
264	1086	3014
265	1090	3010
266	1093	3001
267	1095	2993
268	1099	2986
269	1102	2980
270	1105	2973
271	1109	2969
272	1114	2967
273	1117	2962
274	1120	2953
275	1122	2945
276	1128	2944
277	1130	2935
278	1132	2926
279	1136	2923
280	1140	2917
281	1142	2909
282	1146	2903
283	1148	2895
284	1150	2887
285	1153	2879
286	1155	2871
287	1158	2864
288	1160	2854
289	1162	2846
290	1165	2839
291	1167	2831
292	1171	2825
293	1172	2816
294	1174	2807
295	1176	2799
296	1181	2795
297	1183	2788
298	1185	2779
299	1188	2773
300	1190	2765
301	1193	2757
302	1196	2751
303	1199	2745
304	1201	2737
305	1203	2730
306	1206	2723
307	1209	2716
308	1211	2708
309	1214	2704
310	1217	2696
311	1219	2689
312	1222	2684
313	1225	2676
314	1228	2672
315	1235	2673
316	1238	2669
317	1241	2663
318	1245	2658
319	1247	2651
320	1251	2647
321	1254	2640
322	1256	2633
323	1260	2629
324	1263	2623
325	1266	2618
326	1271	2616
327	1275	2613
328	1277	2606
329	1281	2601
330	1283	2595
331	1286	2587
332	1289	2582
333	1292	2576
334	1294	2569
335	1296	2562
336	1299	2556
337	1301	2549
338	1304	2542
339	1306	2536
340	1308	2529
341	1311	2522
342	1313	2516
343	1315	2508
344	1317	2501
345	1322	2499
346	1324	2493
347	1327	2486
348	1329	2480
349	1333	2475
350	1335	2469
351	1338	2463
352	1340	2457
353	1343	2451
354	1345	2445
355	1348	2439
356	1350	2432
357	1352	2425
358	1356	2422
359	1358	2414
360	1360	2408
361	1364	2404
362	1368	2401
363	1371	2395
364	1373	2389
