iter	Passed	Remaining
0	1	127
1	2	119
2	3	116
3	4	112
4	6	123
5	7	116
6	8	113
7	9	109
8	10	106
9	11	104
10	12	102
11	13	99
12	14	97
13	15	95
14	17	99
15	18	97
16	20	99
17	21	98
18	22	97
19	23	94
20	25	95
21	27	99
22	29	97
23	31	98
24	33	100
25	34	98
26	35	97
27	37	96
28	38	94
29	40	94
30	43	96
31	44	95
32	46	93
33	47	91
34	48	90
35	49	88
36	50	86
37	51	84
38	53	83
39	54	81
40	55	80
41	56	77
42	57	75
43	58	74
44	59	72
45	60	71
46	61	69
47	62	68
48	63	66
49	64	64
50	66	63
51	67	62
52	68	60
53	69	59
54	70	57
55	73	57
56	74	56
57	75	54
58	77	53
59	78	52
60	80	51
61	82	50
62	83	48
63	84	47
64	86	46
65	87	45
66	88	43
67	90	42
68	92	41
69	93	40
70	96	39
71	97	37
72	98	36
73	100	35
74	101	33
75	102	32
76	104	31
77	105	29
78	107	28
79	108	27
80	110	25
81	111	24
82	113	23
83	114	21
84	116	20
85	117	19
86	118	17
87	119	16
88	120	14
89	121	13
90	122	12
91	123	10
92	125	9
93	126	8
94	127	6
95	128	5
96	129	4
97	130	2
98	132	1
99	133	0
